,type,treasuryAddress,deepDaoInsertedAt,chainId
47,liquid,0x212f7aa8731949b74f51482bbe1a1288ff1ca51b,2022-11-29,56
48,vesting,0x21950e281bde1714ffd1062ed17c56d4d8de2359,2022-05-10,1
49,liquid,0x22341fb5d92d3d801144aa5a925f401a91418a05,2022-05-08,1
50,liquid,0x223592a191ecfc7fdc38a9256c3bd96e771539a9,2021-12-06,1
51,liquid,0x24467575cca1497e352fcd99f875f03138650567,2021-12-06,1
52,liquid,0x245cc372c84b3645bf0ffe6538620b04a217988b,2021-12-06,1
53,liquid,0x24dd242c3c4061b1fcaa5119af608b56afbaea95,2022-03-07,1
54,liquid,0x252E7E8B9863f81798B1fEF8CfD9741A46De653C,2022-08-10,1
55,liquid,0x25f2226b597e8f9514b3f68f00f494cf4f286491,2021-12-06,1
56,liquid,0x2627e4c6beecbcb7ba0a5bb9861ec870dc86eb59,2022-08-16,1
57,liquid,0x267070804c46a47aa92a76d59d70c05d30de46e3,2021-12-06,1
58,liquid,0x273d0f686a53a49a0fba2a801566b19f9aaf8fcd,2021-12-06,1
59,vesting,0x2775b1c75658be0f640272ccb8c72ac986009e38,2022-05-10,1
60,liquid,0x282ef5377c35e90c33a94833d69dba880430c9cb,2022-04-13,1
61,liquid,0x283Af0B28c62C092C9727F1Ee09c02CA627EB7F5,2022-08-28,1
62,liquid,0x28849d2b63fa8d361e5fc15cb8abb13019884d09,2022-02-15,1
63,liquid,0x28a3d3467a3198d1bb5311836036d53c3c64b999,2021-12-06,1
64,liquid,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,2021-12-06,1
65,liquid,0x29c40167da498aac78448f52ba1d5cc60a5f4f99,2021-12-06,1
66,liquid,0x29e7d29deab3117766c10080bb923c7239dfd99f,2021-12-06,1
67,liquid,0x2a5c94f3f00db7f11d53d1cfbd9ae8a2bbc7bbf0,2022-11-16,1
68,liquid,0x2b0ee142dcfe7c2dd150cdbd7b6832f6e9977f51,2022-11-05,1
69,liquid,0x2b6557b8190bc667f5e3af9e635d4a54e23413e8,2022-11-15,56
70,liquid,0x2d35d7d3debbc35fbb24d83896257d60604f8062,2022-11-16,1
71,liquid,0x2d737cd0ebbdb40f4bcddcbd0fce1c03eb4a60ba,2022-01-18,1
72,liquid,0x2d8af71e75fdba501e8aaf51c79c498165c49139,2022-08-08,1
73,liquid,0x2db60257e3c7cefd0ff66ebbedefd7cd6c65f037,2022-08-24,1
74,liquid,0x2f61cd8f256ef199ce0cd3094bdce77f1b7e91f5,2021-12-27,1
75,liquid,0x2fb9f0ef424b24a8d293999298f392a33fe6a8b5,2022-01-24,1
76,liquid,0x2fccd22c591b0019d8157461b5da803aa67cc59d,2022-05-10,1
77,liquid,0x2fd88b3dc1d7793dd62e359b6d6489f0ede68938,2022-07-31,137
78,liquid,0x2ff7ab212cd6feae21bac5300465e149fb6b85a9,2022-10-31,1
79,liquid,0x30b0106d9140902d7d495a7f21d282852e9f59d8,2022-11-16,1
80,liquid,0x31941231407ec7e53b2d4e0ba967159736baea9a,2022-09-15,1
81,liquid,0x31f8cc382c9898b273eff4e0b7626a6987c846e8,2021-12-06,1
82,liquid,0x32cc1eca23b75a0003efdce8c9f2c8aaa80be2c0,2022-11-05,56
83,liquid,0x32dd207f1f16dd4ceea94833ab9fb5dd96bc0924,2022-11-16,137
84,liquid,0x336252602b3a8a0be336ed942228305173e8082b,2022-06-26,1
85,liquid,0x34291feae53ad4e155a20de02585eb115ef5d373,2021-12-06,1
86,liquid,0x35685398af991f43813475e189f791610ad0be2b,2022-05-10,1
87,liquid,0x35bb964878d7b6ddfa69cf0b97ee63fa3c9d9b49,2022-03-07,1
88,liquid,0x36fab4ac1d36e5f1015236261e42365cb4feac52,2022-03-31,1
89,liquid,0x37513c2cc37554ff6c40d86d1e104776617e4fd5,2022-11-29,1
90,liquid,0x383df49ad1f0219759a46399fe33cb7a63cd051c,2022-06-21,1
91,liquid,0x3a1f860046249646e508c417a840755571bc4680,2021-12-06,1
92,liquid,0x3a24ad251473590566f70880330a872aaa211777,2021-12-06,1
93,liquid,0x3aac79279108cf1c7db7d8250c87eeffc63676f5,2021-12-06,1
94,liquid,0x3ac825db2021f5cdf674b11c00af71e743818cad,2021-12-06,1
95,liquid,0x3bb769753a6579b788dabf97217c624858d244c5,2022-11-16,1
96,liquid,0x3bcf3db69897125aa61496fc8a8b55a5e3f245d5,2021-12-06,1
97,liquid,0x3bfda5285416eb06ebc8bc0abf7d105813af06d0,2021-12-06,1
